id	text	HS	TR	AG
625	@RealKyleMorris @non99402819 Shut the fuck up ! #BuildThatWall	1	1	1
630	@KamalaHarris You are a Friggin idiot and ANTI-AMERICAN #BuildTheWall #NoAmnesty #NODACA #DrainTheDeepState #VOTEDEMOUT2018 #MAGA #WalkAway #TRUMP2020 #TheStorm #LiberalismIsAMentalDisease	1	1	1
709	#BuildThatWall #IllegalAliens @ICEgov .@EXPECT_KA0S Eric Lang, CEO Yarrabee Farms admitted did not use EVerify for this killer or workers. Tell AG .@jeffsessions to get off his behind work on getting EVerify mandatory 4all jobs. Hopefully ICE raids YarebeeFarms as regular visit	1	1	1
747	ME TOO Swedish: Mother(45) make a relation with an Afghani refugee (18). They have sex, but he also kiss and touch her daughter(12). She is fighter for Me too movement, but are out of each control. https://t.co/itbIlmt3dt	1	1	1
974	#buildthewall U.S. Marshals: Illegal alien wanted for murder in Mexico arrested in SC #endchainmigration via @cbs46	1	1	1
1354	@realDonaldTrump @DHSgov  Can you please step in and deport Karrar Al Khammasi... Please send him back to Iraq...He is a repeat #Criminal.. #BackTheBlue 🙏🏼 #ColoradoDoYourJob #LiberalismIsAMentalDisorder   https://t.co/OitoQRAYMN	1	1	1
1385	@WeWontBend This bitch is promoted by communist...her people, refugeesWill listen to her..follow her.Simple to say go home, she needsTo be hung.	1	1	1
1471	Iranian migrant stabs 6 people on German bus ‘“ Was his plan to burn the passengers alive? https://t.co/NSgaVbBQyy	1	1	1
1576	@TMZ People like @6ix9ine and @NICKIMINAJ is the reason why Trump need to #buildthatwall!!!! #MAGA	1	1	1
1782	Illegal Alien Charged With Molesting Child In North Carolina #BuildTheWall #NoDACA #NoAmnesty How many Children have to have their lives destroyed?Is there an acceptable criteria you are willing to accept?#ChildRape#DeathPenalty	1	1	1
2037	Illegal alien in upstate NY allegedly raped young girl https://t.co/uu0YjMpz28#StopTheInvasion #SecureTheBorder #FamilyValues	1	1	1
2321	She's nothing but a @realDonaldTrump con. She's an illegal immigrant &amp; Slovenian skinhead Nazi B back home before @FLOTUS(lady my ass) falsified her PAPERS to enter the US. Worked on tourist VISA. Lied about education(degree in architecture) fluent in 5 languages. Einstein VISA? https://t.co/FKEmxuVwp0	1	1	1
2341	Ugly traitor, go to jail and do not pass GO @potus @realDonaldTrump #BuildTheWall #LockThemUp #EndDACA now !!!!!!!!!!!	1	1	1
2651	African migrant who abused four boys in France says 'it's normal' in his country to kiss a teenager's genitals https://t.co/ageBUNFKyX	1	1	1
2999	This illegal immigrant should be arrested for lying https://t.co/vWiInfDLGz	1	1	1
3029	Presidential determination for the number of refugees that COULD be admitted to the US in coming fiscal year "due Sept. 30"? via @refugeewatcher @POTUS #NOMORERefugees #NOmoreSomaliRefugees @RepTomEmmer Where the heck r u??	1	1	1
3070	GOOD !  NowCentral Americans STOP COMING TO THE U.S ILLEGALLY BREAKING U.S #Immigration  Laws Detain and Deport ASAP  Angel Families #Trump #MAGA #RedNationRising https://t.co/B2lxHKvM8I via @usatoday	1	1	1
3228	Illegal Alien Who Had Already Been Deported In The Past Returns To Florida & Sexual Assaults A Young Girl Then Nearly Beats Her To Death #BuildThatWall	1	1	1
3317	Illegal Immigrant With Assault Rifle Shoots at TX Interstate Drivers 7 Year-Old Girl Hit in the Head https://t.co/Mr1VFs4L7n	1	1	1
3456	Syrian migrant arrested for raping 13-year-old Swedish girl https://t.co/4rB9TO2kEd	1	1	1
3517	Lebanese Christian beats up Syrian refugee in his home and screams at his wife (with Subtitles) https://t.co/qJlFNzUMaF	1	1	1
3576	So discusting! Lock him up! Dont release him he will only come back! https://t.co/KXyYiugFUh	1	1	1
3888	This Idiot Wants to DECLARE WAR ON THE U.S!!   Americaans Lets go to Mexico Illegally Vote in their Elections and Live off their Welfare System  If they ask for ID Called them Racists then Sue !  #Trump #MAGA #SaturdayMorning #Immigration https://t.co/Ban6YCPe8n via @dailycaller	1	1	1
3915	Complex not really as thousands havent eaten while new Tory ministers want too cut immigration they want bring sterolization for you ,rapists released early you say your not interfering while victims suffer because of him everyday the truth is you have lost touch the nations sick	1	1	1
4015	Parisian woman hit by Rapefugee https://t.co/yt8hgKco39	1	1	1
